"ProductID","ProductName","ProductBrand","Gender","Price","Description","PrimaryColor"
"10017413","DKNY Unisex Black  Grey Printed Medium Trolley Bag","DKNY","Unisex","11745","Black and grey printed medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty 5 yearsWarranty provided by Brand Owner  Manufacturer"," Black"
"10016283","EthnoVogue Women Beige  Grey Made to Measure Custom Made Kurta Set with Jacket","EthnoVogue","Women","5810","Beige  Grey made to measure kurta with churidar and dupattaBeige made to measure calf length kurta, has a Vneck, threequarter sleeves, lightly padded on bust, flared hem, concealed zip closureGrey solid made to measure churidar, drawstring closureGrey net sequined dupatta, has printed tapingWhat is Made to MeasureCustomised Kurta Set according to your Bust and Length So please refer to the Size Chart to pick your perfect sizeHow to measure bustMeasure under your arms and around your chest to find your bust size in inchesHow to measure Kurta lengthMeasure from shoulder till barefoot to find kurta length in"," Beige"
"10009781","SPYKAR Women Pink Alexa Super Skinny Fit HighRise Clean Look Stretchable Cropped Jeans","SPYKAR","Women","899","Pink coloured wash 5pocket highrise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"," Pink"
"10015921","Raymond Men Blue SelfDesign SingleBreasted Bandhgala Suit","Raymond","Men","5599","Blue selfdesign bandhgala suitBlue selfdesign bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a doublevented back hemBlue selfdesign midrise trousers, has a zip fly with a button and a hookandbar closure, four pockets, a waistband with belt loops","Blue"
"10017833","Parx Men Brown  OffWhite Slim Fit Printed Casual Shirt","Parx","Men","759","Brown and offwhite printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"," White"
"10014361","SHOWOFF Men Brown Solid Slim Fit Regular Shorts","SHOWOFF","Men","791","Brown solid lowrise regular shorts, has four pockets, a button closure"," Brown"
"10017869","Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men","719","Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket","Blue"
"10009695","SPYKAR Women Burgundy Alexa Super Skinny Fit HighRise Clean Look Stretchable Ankle Jeans","SPYKAR","Women","899","Burgundy coloured wash 5pocket highrise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"," Burgundy"
"10000571","Parx Men Brown Tapered Fit Solid Regular Trousers","Parx","Men","664","Brown solid regular trousers regular trousers"," Red"
"10017421","DKNY Unisex Black Large Trolley Bag","DKNY","Unisex","17360","Black solid large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty 5 yearsWarranty provided by Brand Owner  Manufacturer"," Black"
"10000911","Kenneth Cole Women Navy Blue Solid Backpack","Kenneth Cole","Women","2463","Navy Blue backpackNonPadded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap PaddedWaterresistance No","Blue"
"10000245","Parx Men Green Printed Polo Collar Tshirt","Parx","Men","629","Green printed Tshirt, has a polo collar, and short sleeves"," Green"
"10016727","Vishudh Women Maroon Printed Kurta with Palazzos","Vishudh","Women","892","Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, threequarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slipon closure"," Maroon"
"10017749","Parx Men Red Slim Fit Checked Casual Shirt","Parx","Men","752","Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"," Red"
"1000795","Being Human Clothing Navy Printed Casual Slim Shirt","Being Human","Men","1079","Navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem"," Navy"
"10003803","Homesake GoldToned  White Solid Handcrafted Table Lamp with Shade","Homesake","Unisex","1620","Type Handcrafted Table Lamp with ShadeColour GoldToned and whitePattern SolidShape FrustumShade material FabricBase material AluminiumBulb Holder Type E27Switch Type Toggle ButtonComes with bulb"," White"
"10012765","SEJ by Nisha Gupta Set of 6 Mustard  Blue Printed Table Placemats","SEJ by Nisha Gupta","Unisex","899","Set content 6 table mats Shape Rectangle Colour Mustard and blue Pattern Printed Suitable For 6 seater table Material Cotton ","Blue"
"10014413","YAK YAK Men Camel Brown Solid Polo Collar Tshirt","YAK YAK","Men","599","Camel brown solid Tshirt, has polo collar, short sleeves"," Brown"
"10013483","PARFAIT Plus Size Black Striped NonWired Lightly Padded Tshirt Bra P5252","PARFAIT","Women","1749","Black striped mediumcoverage Tshirt braLightly Padded and NonWired seamless cupsRegular straps and back closureBack style RegularFeature All Day Comfort"," Red"
"10004155","HIGHLANDER Men Mustard  Black Slim Fit Checked Casual Shirt","HIGHLANDER","Men","699","Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"," Black"
"10012795","SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats","SEJ by Nisha Gupta","Unisex","899","Set content 6 table matsShape RectangleColour MulticolouredPattern PrintedSuitable For 6 seater tableMaterial Cotton"," Red"
"10009723","SPYKAR Women Blue Adora Skinny Fit MidRise Clean Look Stretchable Ankle Jeans","SPYKAR","Women","1199","Blue medium wash 5pocket midrise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops","Blue"
"10012853","JEWEL JUNCTION GoldToned Square Cufflinks","JEWEL JUNCTION","Men","539","A pair of goldtoned square solid cufflinks"," Gold"
"10006001","ID Men Tan Brown Fisherman Leather Sandals","ID","Men","2385","A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty 3 monthsWarranty provided by brandmanufacturer"," Brown"
"10017377","Storyhome Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers","Storyhome","Unisex","1199","Set content 1 King bedsheet with 2 pillow coversQuality Fine Thread count 210Colour MulticolouredPattern Geometric"," Red"
"10015839","Raymond Men Blue Slim Fit Printed Formal Shirt","Raymond","Men","1079","Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket","Blue"
"10003123","Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt","Gini and Jony","Boys","699","Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem","Blue"
"10013041","Sera Women Blue Printed Kurta with Palazzos","Sera","Women","1437","Blue printed kurta with palazzos Blue Aline calf length kurta, has a round neck, short sleeves, flared hem Blue solid palazzos, button closure","Blue"
"10014831","AccessHer Women GoldToned  Pink GoldPlated ADStudded Maang Tikka","AccessHer","Women","979","Goldtoned and pink goldplated maang tikka with arificial stoned and beads studded, goldplatedSecured with a fishhook ear wire"," Pink"
"10017831","Parx Men Blue Slim Fit Printed Casual Shirt","Parx","Men","779","Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket","Blue"
"10002713","Alcis Women Yellow  Blue Colorblocked Tights","Alcis","Women","749","Alcis Women  Yellow  Blue Colorblocked Tights, threefouth length, elasticated waist","Blue"
"10006029","ID Men Brown Leather Formal SlipOns","ID","Men","956","A pair of brown squaretoed formal slipon shoes, has elasticated gussets on both sidesLeather upper, has a textured detailCushioned footbedTextured TPR outsoleWarranty 3 months against manufacturing defect onlyWarranty provided by the brand owner  manufacturer"," Brown"
"10005903","Difference of Opinion Men Navy Blue Solid Round Neck Tshirt With Side Strip Detail","Difference of Opinion","Men","499","Navy Blue Solid Tshirt, has a round neck, long sleeves, has side stripes in the sleeves","Blue"
"10017781","Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men","769","Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket","Blue"
"10002151","Michael Kors Extreme Blue For Men Edt 70 ml","Michael Kors","Men","4275","What it isExtreme Blue For Men EdWhat it doesMasculine and sensuous at the same time is this Blue Eau De Toilette from Michael Kors Exuding unmatched freshness, this EDT is a musthave in your collection of fragrances Available in a 70 ml pack, this EDT has top notes of bergamot, spicy pink pepper and invigorating cardamom The heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli","Blue"
"10015989","Tokyo Talkies Women OffWhite  Pink Floral Print Fit and Flare Dress","Tokyo Talkies","Women","499","OffWhite and pink printed woven fit and flare dress, has a round neck, threequarter sleeves, concealed zip closure,, flared hem"," White"
"10004151","HIGHLANDER Men Navy Blue  Maroon Slim Fit Checked Casual Shirt","HIGHLANDER","Men","699","Navy Blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket","Blue"
"10007705","her by invictus Women Brown Solid Cushioned Mules","her by invictus","Women","1044","A pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your workfromhome needs It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"," Brown"
"10006041","ID Men Beige Leather Derbys","ID","Men","2685","A pair of roundtoe beige derbys, has regular styling, laceup detailLeather upperCushioned footbedTextured and patterned outsoleWarranty 3 monthsWarranty provided by brandmanufacturer"," Beige"
"10009621","SPYKAR Women Blue Adora Skinny Fit MidRise Low Distress Anklelength Stretchable Jeans","SPYKAR","Women","1124","Blue medium wash 5pocket midrise anklelength jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops","Blue"
"10009681","SPYKAR Women Blue Adora Skinny Fit MidRise Clean Look AnkleLength Stretchable Jeans","SPYKAR","Women","989","Blue dark wash 5pocket midrise anklelength jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops","Blue"
"10017569","Soie NudeColoured Solid NonWired Non Padded Maternity Bra CB331NUDE","Soie","Women","750","NudeColoured solid fullcoverage Maternity bra Non Padded and NonWired seamless cups Regular straps and back closure Back style Regular Feature All Day Comfort"," Red"
"10001251","Lara Karen Women Black Solid Maxi Satin Skirt","Lara Karen","Women","1999","Black solid woven maxi skirt, has a slipon closure, flared hem"," Black"
"10003199","Gini and Jony Girls Yellow Fit and Flare Embellished Dress","Gini and Jony","Girls","1619","Yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem"," Yellow"
"10017405","Storyhome OffWhite  Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers","Storyhome","Unisex","1199","Set content 1 King bedsheet with 2 pillow coversQuality FineThread count 210Colour OffWhite and bluePattern Geometric","Blue"
"10013687","PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801","PARFAIT","Women","1189","Blue solid mediumcoverage plunge bra with lace detailLightly padded and underwired seamless cupsRegular straps and back closureBack style RegularFeature All Day Comfort","Blue"
"10015163","Urban Dog Men Grey Solid Regular Fit Sports Shorts","Urban Dog","Men","399","Grey solid midrise sports shorts, has two pockets, a drawstring closure"," Grey"
"1000710","ahilya Sterling Silver Textured Bangle","ahilya","Women","9756","Sterling silver textured bangle, has animalshaped detail on the endsNote This jewellery is handcrafted, therefore there might be slight variations from the image"," Red"
"10013541","PARFAIT Plus Size Blue Solid Underwired Lightly Padded Tshirt Bra P5441","PARFAIT","Women","1609","Blue solid mediumcoverage Tshirt braLightly padded and underwired seamless cupsRegular straps and back closureBack style RegularFeature All Day Comfort","Blue"
"10002833","VASTRAMAY Boys Navy Blue  Maroon Solid Kurta with Dhoti Pants  Jacket","VASTRAMAY","Boys","1469","Navy Blue and maroon solid kurta with dhoti pantsNavy Blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemGoldtoned solid dhoti pants, slipon closureMaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket","Blue"
"10005915","Difference of Opinion Men Grey Melange Printed Round Neck Tshirt","Difference of Opinion","Men","499","Grey printed Tshirt, has round neck, long sleeves"," Grey"
"10002707","Campus Sutra Men White  Blue Regular Fit Colourblocked Casual Shirt","Campus Sutra","Men","479","White and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket","Blue"
"10012433","FIDO DIDO Men White Printed Round Neck Tshirt","FIDO DIDO","Men","449","White and black printed Tshirt,has round neck,short sleeves"," White"
"10012699","MIAH Decor Beige  Black Indian Art Printed Set of 4 Ceramic Bowls","MIAH Decor","Unisex","1469","Type BowlsPattern PrintedFinish Matte Material Ceramic"," Black"
"10012851","JEWEL JUNCTION GoldToned Geometric Cufflinks","JEWEL JUNCTION","Men","539","A pair of goldtoned and blue geometric printed cufflinksComes in a signature JEWEL JUNCTION case"," Gold"
"10016755","Vishudh Women OffWhite  Green Floral Print ALine Dress","Vishudh","Women","1299","OffWhite and green printed woven Aline dress, has a mandarin collar, threequarter sleeves, button closure,, flared hem"," Green"
"10015159","Urban Dog Men Grey Printed Regular Fit Sports Shorts","Urban Dog","Men","399","Grey printed midrise sports shorts, has two pockets, a drawstring closure"," Grey"
"10013655","PARFAIT Plus Size Women Navy Blue  White Solid LowRise Bikini Brief PP303","PARFAIT","Women","499","Navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset","Blue"
"10012821","SEJ by Nisha Gupta Set of 6 Yellow  Blue Printed Table Placemats","SEJ by Nisha Gupta","Unisex","899","Set content 6 table mats Shape Rectangle Colour Yellow and bluePattern Printed Suitable For 6 seater table Material Cotton ","Blue"
"10006073","ID Men Brown Leather Loafers","ID","Men","1218","A pair of square toe brown loafers, has regular styling, slipon detailLeather upperCushioned footbedTextured and patterned outsoleWarranty 3 monthsWarranty provided by brandmanufacturer"," Brown"
"10013491","PARFAIT Plus Size Red Solid Underwired Lightly Padded Tshirt Bra P5391","PARFAIT","Women","1609","Red solid mediumcoverage Tshirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style Regular Feature All Day Comfort"," Red"
"10009773","SPYKAR Women Blue Adora Skinny Fit MidRise Mildly Distressed Stretchable Cropped Jeans","SPYKAR","Women","1214","Blue medium wash 5pocket midrise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops","Blue"
"10009643","SPYKAR Women Blue Adora Skinny Fit MidRise Clean Look Stretchable Cropped Jeans","SPYKAR","Women","899","Blue dark wash 5pocket midrise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops","Blue"
"10015831","Raymond Men Blue Regular Fit Self Design Formal Shirt","Raymond","Men","1154","Blue selfdesign formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket","Blue"
"10014675","BuckleUp Women Multicoloured Printed Belt","BuckleUp","Women","449","Multicoloured printed beltReversible NoStretchable NoSecured with a tangWarranty 1 monthWarranty provided by brandmanufacturer"," Red"
"10012761","Peter England Men Black Briefs PIWBK9146012","Peter England","Men","266","A pair of black briefs, has an elasticated waistband and a panelled front with a doublelayered contoured pouch"," Black"
